X,Y,OBJECTID_1,name,objectid,address,globalid,Neighborhood
-8529300.7225,4772151.9545,1,College of Notre Dame of Maryland,1,4701 North Charles Street,{F4987E93-8D39-4FD5-BFCC-5150B5005D2B},Greater Govans
-8529423.9656,4765998.7199,2,"Maryland Institute, College of Art",2,1300 W Mount Royal Ave,{B416424E-883F-4251-8FE5-2318E5860452},Midtown
-8528918.8051,4765611.2652,3,University of Baltimore,3,1420 N. Charles Street,{272E38FB-711D-4F39-BFA6-C1E0ABE3F37B},Midtown
-8527902.9383,4762956.82850001,5,Baltimore City Community College- Downtown,5,50 Market Plaza,{63A53A6D-000C-44B8-A66C-DD9FE408D4C8},Downtown
-8529240.1471,4768902.1147,8,Johns Hopkins University,8,3400 N. Charles Street,{9C985366-34E6-413F-8017-91F95CDF92BD},Medfield/Hampden/Woodberry/Remington
-8529479.01,4771332.4725,9,Loyola College,9,4501 North Charles Street,{28356134-79B0-4E99-911F-7CBECC12F47A},Greater Govans
-8533482.9953,4766174.1817,10,Coppin State College,10,2500 W North Ave,{329A8168-ED14-4B0D-B547-039E24A2D432},Greater Mondawmin
-8525376.1777,4771410.5566,11,Morgan State University,11,1700 East Cold Spring Lane,{FAD36E8A-E979-486F-BEE8-1516A3E2B08A},Northwood
-8529580.2292,4762952.56620002,12,University of Maryland at Baltimore,12,522 W Lombard,{6693EBED-01DB-4131-9A61-A3ADBCFE45C6},Downtown
-8534088.0106,4767592.0408,15,Baltimore City Community College- West Side,15,2901 Liberity Heights Ave,{78EA11AE-BCC0-41D1-ADC8-123F03C03ACA},Greater Mondawmin
